MapUnit,FieldSampleID,AlternateSampleID,SiO2,TiO2,Al2O3,FeOt,MgO,CaO,Na2O,K2O,P2O5,MnO,La,Ce,Nd,Sc,V,Cr,Ni,Cu,Zn,Ga,Zr,Ba,Cs,Nb,Pb,Rb,Sr,Th,U,Y,LocationConfidenceMeters,LocationSourceID,AnalysisSourceID,MaterialAnalyzed,DateAnalysis,Latitude,Longitude
Tgo,07BV-G879,null,55.46,1.91,13.53,11.29,3.533,7.09,3.178,1.684,0.331,0.192,29,57.5,31.3,30.8,321.7,5.3,2.5,14.3,124.8,19.6,183.5,687.6,,11.2,7.3,49,314.2,5.1,2.7,35.3,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/13/2008 18:31,45.587476,-122.063384
Twfss,07BV-G886,null,49.48,2.928,12.7,13.69,3.696,7.88,2.76,1.606,0.671,1.081,28.8,56.5,35.1,36,394.5,16,9.6,23.7,144.9,20,206.8,643.5,,14,6.7,38.6,305.3,5,1.7,43.6,-9,EvartsUnpubMultnomahFalls,WSU,whole rock,3/24/2008 19:03,45.513588,-122.035375
Twfss,07BV-G886B,null,50.81,2.962,13,14.22,3.95,7.99,2.896,1.485,0.669,0.263,27.3,66.1,37.8,35.1,396.8,15,13.3,23.7,150.3,20.2,211.7,663.7,,15,7.4,36.5,310.5,5.8,2.5,45.3,20,EvartsUnpubMultnomahFalls,WSU,whole rock,2/9/2009 5:11,45.513476,-122.035214
Twfss,07BV-G886B,07BV-G886BR,50.35,2.938,12.85,14.39,3.916,7.903,2.848,1.457,0.665,0.261,31.4,62.9,36,35.9,391.3,15.1,12.7,22.5,150.1,20.6,208.1,659.4,,14.6,6.9,35.2,306.7,5.5,1.7,43.5,20,EvartsUnpubMultnomahFalls,WSU,whole rock,2/12/2009 14:45,45.513476,-122.035214
Twfss,07BV-G886C,null,50.23,2.943,12.9,14.08,3.722,7.889,2.924,1.522,0.688,0.294,28.9,66.8,37,35.6,387.8,16.2,11.4,23.5,152.1,20.6,211.3,658,,15.9,7.7,37.7,305,5.6,1.8,45.3,20,EvartsUnpubMultnomahFalls,WSU,whole rock,2/9/2009 6:17,45.513476,-122.035214
Twpr,07BV-G888,null,49.36,3.651,12.7,14.48,4.232,8.545,2.674,1.277,0.799,0.248,36,68.1,40.2,38.6,426.7,8.6,13.4,24.6,157,21,229,583.5,,16.1,6.1,31.7,292.1,4.7,0.7,49,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/13/2008 19:37,45.506886,-122.037144
Tgsbsf,07BV-G889A,null,52.57,1.756,13.75,11.13,5.205,8.508,2.868,1.057,0.269,0.189,19.9,39.4,20.9,36.3,323,50.5,13.8,37.9,108.5,17.5,151.4,461.8,,9.6,4.5,27.3,299.8,3.1,3.2,31.8,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/13/2008 20:42,45.504786,-122.037434
Tgsbmc,07BV-G890,null,52.84,1.961,13.7,11.83,4.616,8.527,2.936,1.15,0.33,0.209,22.4,45.7,26.7,37,322.1,38,9.5,30,120.9,19.2,164,491.3,,9.8,4.5,28.2,315.4,3.4,1.1,34.3,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/13/2008 21:48,45.503126,-122.037174
Tgsbsf,07BV-G891A,null,53.53,1.794,13.91,10.99,4.59,8.557,2.951,1.088,0.284,0.185,23.5,40.9,23.9,37,323.9,41.9,11.3,37.8,112.1,18.7,156.6,485.9,,9.3,4.4,28.7,306.5,3.8,1.1,31.1,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/13/2008 22:53,45.501786,-122.032794
Twfsg,07BV-G891B,null,50.34,3.051,13.04,14.12,4.257,8.146,2.861,1.304,0.67,0.233,27.5,58.3,33.6,35.3,383.6,14.3,8.9,21.8,142.2,20.8,182.8,573.3,,13.2,5.4,31.8,329.2,4.1,1.1,40.2,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/13/2008 23:59,45.501786,-122.032594
Tgsbmc,07BV-G892A,null,52.4,1.897,13.72,11.8,4.984,8.762,2.864,0.917,0.283,0.2,23.8,37.2,19.7,38.3,327.8,34.8,10.2,30.1,115.9,19.1,151.1,460.4,,9.4,3.3,20.5,320.4,3.1,1.7,31.3,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/14/2008 1:04,45.501136,-122.034564
Tgwr,07BV-G903,null,52.75,2.218,13.29,11.99,3.533,7.159,2.906,1.663,0.353,0.196,27.8,54.8,29.2,31.9,402.9,9,4,16.4,126.6,19.7,179,665.6,,10.3,7.1,51.2,333.9,4.9,2.4,34.6,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/29/2008 8:19,45.602176,-122.006594
Tgwr,07BV-G904,null,53.6,2.297,13.44,11.72,3.428,6.996,3.029,1.785,0.366,0.193,29.6,52.9,30.1,31.5,365.4,9,6.1,22.1,129.8,19.9,196.3,707.2,,12,7.5,53.6,313.5,5.6,2.3,35.5,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/29/2008 9:24,45.601886,-122.005794
Tgwr,07BV-G904,07BV-G904R,53.69,2.307,13.39,11.81,3.449,6.99,3.035,1.782,0.366,0.193,26.4,57,31.6,30.6,363.4,6.2,6.9,21.5,125.9,19.8,195.5,709.4,,11.8,7.4,53.1,313.6,4.5,2.2,35.7,-9,EvartsUnpubMultnomahFalls,WSU,whole rock,3/30/2008 11:53,45.601886,-122.005794
Tgwr,07BV-G905,null,53.54,2.297,13.34,11.82,3.44,6.957,3.023,1.914,0.361,0.189,28.7,55,29.5,31.9,364.8,7.9,4.7,21.1,124.9,19.5,196.2,698.1,,11.5,7.9,53.5,307.1,4.8,3.9,35.2,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/29/2008 10:30,45.601456,-122.004984
Tgwr,07BV-G906,null,54.3,2.369,13.4,11.44,3.123,6.23,3.292,1.778,0.404,0.167,28.6,54.9,29.7,31,368.2,3.5,0.5,15.2,131.9,19.6,193.2,736.9,,12.3,7.2,53.2,320.2,5.2,2,35.7,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/29/2008 11:35,45.600836,-122.003894
Tgsb,07BV-G908A,null,53.34,1.983,13.84,11.33,4.756,8.596,2.99,1.212,0.326,0.21,20.6,51.2,27.4,39.6,325.5,34.5,9,28.5,123,20,164.9,506.1,,10.6,5.3,27.2,313.2,2.8,1.3,34.5,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/25/2008 9:15,45.596206,-122.006164
Tgo,07BV-G908C,null,54.27,1.956,13.54,11.45,3.451,6.963,3.077,1.674,0.33,0.19,32.2,56.7,30.6,29.8,302.5,4.2,0.9,15.8,123.8,21.1,191.8,712.6,,11,7.5,45,328.1,4.3,1.3,35,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/29/2008 12:41,45.596586,-122.006434
Tgo,07BV-G909,null,54.97,1.933,13.46,11.18,3.436,6.925,3.041,1.862,0.324,0.187,27.2,52.4,26.2,31.1,323,10.4,1.9,14.8,121,19.7,181.1,692.7,,10.5,7.2,51.7,306.6,5.8,3.8,32.8,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/29/2008 16:13,45.597306,-122.006734
Tggc,07BV-G910A,null,55.01,1.924,13.44,11.21,3.346,6.84,3.143,1.784,0.313,0.185,28.2,48.5,26.9,30.4,331.3,6.1,2.7,16.5,117.5,20.5,185.2,702.8,,10.8,9.6,50.7,303.7,4.4,2.6,33.5,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/29/2008 17:18,45.597956,-122.007144
Tggc,07BV-G910B,null,54.36,1.955,13.65,11.17,3.682,7.113,2.996,1.728,0.339,0.189,25.4,56.5,30.6,32.2,329.4,13.5,5.6,24,120.7,20.2,172.9,691.6,,10.7,9,50.1,326,5.4,1.5,33.1,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/29/2008 18:24,45.598256,-122.007024
Tggc,07BV-G913,null,54.3,1.947,13.64,11.19,3.58,7.096,3.068,1.737,0.34,0.189,27.3,46,26.6,31.4,329.6,12.1,6.3,23,120.9,19.5,172.2,682.5,,10.6,8.8,48.4,326.1,4.7,2.9,32.7,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/29/2008 21:41,45.591136,-122.042314
Tggc,07BV-G914,null,55.08,1.937,13.41,11.2,3.307,6.8,3.086,1.882,0.309,0.19,30.8,55.1,27.7,32.1,335,6.5,2.2,16.8,118.9,20,186.2,706.6,,10.8,9.4,52.9,305.5,5.4,2.7,34.5,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/29/2008 22:46,45.590536,-122.041924
Tgo,07BV-G915,null,54.08,1.91,13.53,11.33,3.494,6.994,2.999,1.653,0.329,0.19,27.4,53.7,27.5,31.8,323.4,11.4,3.1,16.2,120.3,20.7,180.3,688,,10.6,8.9,47.3,311.3,5,2,34.2,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/29/2008 23:52,45.589876,-122.041464
Tgo,07BV-G916,null,54.74,1.897,13.47,10.97,3.551,6.77,3.23,1.661,0.324,0.167,30,51.4,26.9,30.8,318.7,10,3,15.5,120.7,20.5,178,672.2,,11.3,8.2,47.1,301,5.2,2.7,33.7,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/30/2008 0:57,45.589636,-122.041314
Tgo,07BV-G917,null,55,1.947,13.64,10.57,3.427,6.642,3.336,1.707,0.344,0.167,27.6,53.3,29,32.1,305.9,5.4,1.8,16.5,122.6,20.1,192.3,706.4,,11.7,7.4,48.6,322.6,5.3,2.7,35.7,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/30/2008 2:03,45.588886,-122.041504
Tgww,07BV-G918,null,54.44,2.112,13.2,12.32,3.423,6.822,3.293,1.567,0.356,0.199,29.8,52.2,28.5,34,361.1,8.3,0.7,10.5,129.7,19.9,185.5,625.6,,11.1,7.4,43.9,309.2,5.2,1.9,36.1,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/30/2008 3:08,45.588536,-122.041594
Tgwr,07BV-G926A,null,53.02,2.254,13.3,12.12,3.559,7.066,3.084,1.693,0.367,0.2,28.8,57.9,30.8,32,404.2,6.9,5.4,17.1,126.8,20.3,179.8,688.5,,10.4,7.7,48.6,325.7,5.4,3.8,35.1,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/30/2008 4:14,45.586386,-122.082384
Tgwr,07BV-G926B,null,54.11,2.268,13.47,11.24,3.363,6.719,3.29,1.736,0.367,0.173,30.3,54.9,31.1,32.4,398.5,7.7,2.9,16.1,129,20.7,186.4,701.4,,11.7,8.3,48.1,327.3,5.2,1.2,34.8,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/30/2008 5:19,45.586126,-122.082214
Tgwr,07BV-G927A,null,53.7,2.306,13.38,11.79,3.434,6.987,3.004,1.951,0.364,0.191,29.2,54.8,29.8,31.6,363.9,9.1,6.3,22.3,129.4,19.8,197.4,706.7,,12,8.4,53.9,308.1,4.8,1,35.6,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/30/2008 6:25,45.585626,-122.082044
Tgwr,07BV-G927B,null,53.61,2.295,13.45,11.72,3.433,7.023,2.965,1.958,0.365,0.188,29.8,50.6,29.3,31.2,367.2,7.7,5.2,21.7,126.4,19.3,196.8,705.7,,12,7.3,53.2,310.2,5.7,1.3,36.7,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/30/2008 7:31,45.585536,-122.082214
Twpr,07BV-G928,null,48.97,3.61,12.57,14.58,4.413,8.489,2.727,1.129,0.784,0.251,32.3,69.6,41.3,39.3,419.4,10.9,12.7,22.8,159.8,21.4,225.2,588.7,,16.7,5.9,28.1,293.1,5.7,0.8,49.5,20,EvartsUnpubBridalVeil,WSU,whole rock,3/12/2008 14:07,45.548206,-122.195044
Tgwr,07BV-G929A,null,53.66,2.271,13.39,11.76,3.462,6.966,3.086,1.841,0.358,0.19,27.8,52.4,30.4,29.6,361.2,8.4,5.2,19.8,123.1,20.7,194.7,696.8,,11.9,9.3,52.1,308.1,5.9,1.5,35.6,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/30/2008 8:36,45.593886,-122.041014
Tgwr,07BV-G929B,null,53.63,2.288,13.41,11.83,3.44,6.967,3.099,1.781,0.357,0.19,30,58.9,30.5,32.7,364.4,9.2,6.1,21.3,125.1,19.7,193.7,706.9,,11,8.1,52.6,309.3,5.5,1.9,35.4,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/30/2008 9:42,45.593976,-122.040644
Tgwr,07BV-G930,null,53.83,2.297,13.41,11.69,3.431,6.903,3.081,1.828,0.352,0.19,29.6,55.9,30.7,31.2,362.6,8.5,5.2,20.6,124.9,18.9,193.2,726.1,,11.6,8.9,53.7,312.9,4.8,2.1,36,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/30/2008 10:47,45.594006,-122.039294
Tggc,07BV-G931,null,54.94,1.926,13.62,11.4,3.621,7.101,3.125,1.722,0.312,0.188,26.5,48.3,25.2,32.5,329.6,10.7,3.8,19.3,121.2,20.1,173.1,675.7,,10.3,7.3,48.5,317.8,5.5,2.4,32.4,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/27/2008 1:41,45.593386,-122.039064
Tgsbmc,07BV-G932B,null,50.78,2.201,15.47,10.74,4.492,9.321,2.962,0.558,0.361,0.214,24,44.9,25.3,41.6,355.1,43.5,7.3,30.3,141.1,20.6,184.6,520.1,,11.6,6.6,10.8,365.4,4.2,1.6,38.2,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/27/2008 2:46,45.588506,-122.032384
Tgsbmc,07BV-G932B,07BV-G932BR,50.76,2.192,15.42,10.71,4.502,9.305,2.97,0.557,0.361,0.215,20.6,48.5,26.4,42.7,354.4,42.3,9.9,29.8,140.8,21,183.6,521.5,,11.7,5.9,10.8,366.3,3.9,1.9,38.4,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/30/2008 12:58,45.588506,-122.032384
Tgww,07BV-G933A,null,53.98,2.078,13.12,12.27,3.376,7,2.954,1.811,0.351,0.205,25.8,51.5,30.1,33,354.6,9.9,0,8.7,128.7,20.3,182.4,624.1,,10.9,7.3,46.4,308.5,5.4,1.9,36.5,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/27/2008 3:52,45.588476,-122.032964
Tgo,07BV-G933B,null,54.91,1.936,13.54,10.99,3.431,7.009,3.011,1.828,0.32,0.19,28.7,47.2,24.6,31.3,303.5,6.2,2,13.6,121,19.7,190.7,747,,11.7,8.7,53,326.9,5.3,2,35,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/27/2008 4:57,45.588876,-122.033434
Tggc,07BV-G934A,null,54.75,1.926,13.38,11.27,3.391,6.838,3.088,1.819,0.301,0.186,29,53.1,30.1,31.2,328.4,7.4,2.9,17.5,117.7,19.8,185.2,693,,11.1,8.5,52.2,303.2,5.9,1.9,34.4,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/27/2008 6:03,45.589806,-122.033844
Tggc,07BV-G934A-2,null,55.76,1.94,13.57,11.33,3.383,6.889,3.206,1.829,0.31,0.185,24.3,55.6,28.4,31.4,336.3,8.3,9.6,16.1,122.6,21.2,189.1,703.7,,13.7,9.1,54,306.3,5.8,1.4,34.7,-9,EvartsUnpubMultnomahFalls,WSU,whole rock,3/13/2010 4:15,45.589806,-122.033844
Tgo,07BV-G934B,null,55.03,1.937,13.52,11.07,3.452,6.962,2.955,2.002,0.324,0.191,25.8,56.2,28.6,30.7,324.9,10.6,2.7,16,120.5,19.9,183.3,689.7,,11.2,8.9,51.8,305.6,5,1.6,33.9,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/27/2008 7:08,45.589556,-122.033874
Tgwr,07BV-G935A,null,53.21,2.246,13.32,12.21,3.55,7.061,3.075,1.722,0.361,0.195,27.2,52.3,29.7,32.9,401.7,9.4,4.2,16,125.7,19.3,179.4,698,,10.5,6,45.3,325.9,5,1.5,35.9,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/27/2008 8:14,45.600586,-122.012924
Tgdg,07BV-G935B,null,53.79,2.132,13.18,12.21,3.405,7.033,3.106,1.657,0.358,0.204,25.3,51.2,29.4,34.2,365.2,8.2,0.7,12.9,125.7,19.7,178.5,615.4,,10.8,7.4,47.2,302.9,4.6,1.7,33.3,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/27/2008 9:19,45.600206,-122.013544
Tgwr,07BV-G936,null,54.04,2.309,13.41,11.88,3.4,6.939,3.011,1.991,0.359,0.189,29.3,51,29.6,30.6,364.2,8.2,5.1,20,126.6,20,195.8,706,,11.3,7.2,53.9,310.2,6.5,0.6,35.9,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/27/2008 10:25,45.597176,-122.013214
Tggc,07BV-G937B,null,55.96,1.95,13.63,11.69,3.395,6.951,3.102,1.894,0.308,0.185,25.1,51.1,26.3,31.5,337.1,6.3,10.3,19.1,121,20.9,191.1,702.1,,12.1,10.3,55.3,314.4,7.5,2.2,35.3,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/23/2012 9:25,45.594006,-122.013264
Tgo,07BV-G938A,null,55.13,1.882,13.56,10.86,3.562,7.064,2.879,2.035,0.314,0.187,25.5,54.2,27.9,31.6,318.3,12.5,3.9,15,120,20.4,178.5,672.2,,10.9,7.6,51,307.8,5.2,1.1,32.8,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/27/2008 12:36,45.593476,-122.013094
Tgo,07BV-G939,null,55.22,1.914,13.46,10.63,3.486,6.696,3.249,1.653,0.338,0.173,28.1,56.6,31.4,32,330,4.9,2,15,122.5,19.7,181.5,679.5,,11.2,8.4,44.7,309.7,5.2,1.7,34.6,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/27/2008 13:42,45.593176,-122.012724
Tgo,07BV-G940,null,54.77,1.938,13.58,10.7,3.413,6.97,2.851,2.029,0.329,0.188,27.8,54.3,27.4,31.2,304.3,5.9,1.9,14.8,122.2,20.3,190.4,691.3,,11.3,8.8,52.8,333.3,5.8,2,35.6,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/27/2008 19:10,45.592926,-122.012264
Tgww,07BV-G941,null,54.23,2.076,13.49,11.3,3.701,7.412,2.946,1.665,0.351,0.203,26.6,53.6,27.4,34,355.3,13,1.6,13.3,128.8,21.2,181.4,718,,11.4,7.9,42.1,328.8,5.3,2.3,36.2,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/27/2008 20:15,45.592556,-122.011264
Tgsbmc,07BV-G942,null,52.89,1.986,13.69,11.63,4.689,8.442,2.848,1.36,0.336,0.212,23.2,49.3,26.5,36.5,323.5,37.1,9.8,30.3,121,21.1,165.9,507.2,,10.8,5.1,27.8,312.1,3.1,0.8,35.2,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/27/2008 21:21,45.592296,-122.011424
Tgwr,07BV-G943,null,53.37,2.233,13.36,11.97,3.498,7.03,3.117,1.702,0.351,0.197,28.3,52.6,28.5,32.6,404,7.1,4.5,15.4,126.7,19,181.1,685,,10.9,7,49.2,332.9,5.7,3,34.5,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/27/2008 22:26,45.599136,-122.015184
Tgww,07BV-G949,null,54.41,2.087,13.25,12.01,3.392,7.036,3.103,1.741,0.353,0.202,27.3,50.3,28.1,34.3,355.1,8.5,0,5.9,128.7,21.8,186.1,642.6,,12.2,7.4,46,314,5.4,2.3,36.8,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/27/2008 23:32,45.576006,-122.107214
Tgo,07BV-G950,null,55.07,1.93,13.54,10.94,3.395,6.937,2.91,2.058,0.325,0.187,30.1,53.4,28.9,31,305.5,3.1,0.5,12.6,122.3,19.8,192.6,710.4,,11.3,8.4,53.4,323.7,4.2,3,34.4,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/28/2008 0:37,45.576886,-122.107964
Tgo,07BV-G951,null,55.16,1.778,13.52,10.94,3.44,6.953,3.005,1.715,0.299,0.183,30.8,52.5,26.6,30.9,295.4,5,0,11.7,118.8,19.5,180.5,710,,10.8,8.1,50.2,306.4,5.2,2.5,35.3,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/28/2008 1:43,45.576556,-122.110464
Tgo,07BV-G954,null,54.82,1.922,13.53,11.27,3.461,6.947,3.087,1.756,0.322,0.191,27.4,55.9,28.8,30.5,322.3,11.3,2.4,15.2,118.3,19.4,181.2,712.5,,10.9,8.5,50.2,310.5,4.7,2.5,34.7,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/28/2008 5:00,45.591956,-122.019044
Tgo,07BV-G954-2,null,55.74,1.953,13.68,11.19,3.453,7.004,3.116,1.88,0.335,0.188,24.3,53.6,29.1,30.5,326.1,11.9,10.4,15.8,128.1,22.5,185.9,705.2,,13,8.5,50.9,315,5,1.8,35.4,-9,EvartsUnpubMultnomahFalls,WSU,whole rock,3/13/2010 5:21,45.591956,-122.019044
Tgo,07BV-G955,null,54.9,1.931,13.55,11.36,3.431,6.987,2.956,1.937,0.319,0.189,27.8,53.5,28.3,30.7,307.4,4.4,0.7,14,121.5,20,190.5,674.2,,11.6,8.2,50.3,320.7,5.1,3.4,33.6,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/28/2008 6:05,45.590256,-122.018384
Tgww,07BV-G956,null,54.55,2.086,13.3,12.23,3.433,7.084,3.14,1.649,0.352,0.207,29.3,51.1,29.8,32.8,354.3,9.9,0,10.6,128.1,21,180.7,635,,10.7,7.5,46.6,314.9,5,3.2,36,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/28/2008 7:11,45.589556,-122.018464
Tgsb,07BV-G957A,null,51.83,2.007,13.76,11.74,4.748,8.457,2.793,1.107,0.344,0.217,28.1,42.6,26.5,37.7,320.8,36,5.7,27.9,121.6,21,167.6,513.5,,11.6,5.8,25,314.4,4,1.2,35.6,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/28/2008 8:16,45.588836,-122.018544
Tgsb,07BV-G957A,07BV-G957AR,51.91,2.007,13.74,11.77,4.743,8.456,2.795,1.112,0.344,0.218,24.8,45,24.8,36.2,326.7,38.1,7.9,29.2,123.1,20.1,167.8,522.2,,10.9,4.9,25.6,317.1,4.2,1.1,35.7,-9,EvartsUnpubMultnomahFalls,WSU,whole rock,3/30/2008 14:04,45.588836,-122.018544
Tgsbmc,07BV-G957B,null,52.44,1.979,13.53,11.67,4.646,8.355,2.85,1.346,0.334,0.21,22.4,41.6,22.9,39.4,323.2,38.4,6.1,29.7,123,20.2,164.5,505.9,,10.4,5,28.9,306.9,3,2,34.4,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/28/2008 9:22,45.588706,-122.018594
Tgsbmc,07BV-G958B,null,51.77,1.85,13.79,11.25,4.787,8.728,2.906,0.875,0.29,0.194,19.8,40.4,23.1,37.4,321.9,36.9,8.5,31.4,115.2,18.4,153.4,489,,9.8,5,13.8,319.1,2.6,0.7,31.5,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/28/2008 10:27,45.588476,-122.018734
Twfsh,07BV-G960B,null,50.66,2.898,13.17,13.03,4.244,8.179,2.768,1.502,0.566,0.212,28.5,57.2,34.3,37,410.6,40.3,13.5,28.7,143.7,19.8,192.2,603.3,,12.5,4.4,35.8,314.8,5.7,2.5,40.6,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/28/2008 11:33,45.586956,-122.018544
Twfsh,07BV-G966B,null,49.5,2.865,12.89,13.48,4.357,7.877,2.768,1.202,0.542,0.196,28.5,50.7,28.2,36.5,410.3,40.5,11.2,28,138.5,19.1,181.7,550.8,,12.2,5.3,31.8,293.5,4.4,1.5,39.2,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/28/2008 12:39,45.572786,-122.110544
Tgwr,07BV-G968A,null,53.58,2.288,13.37,11.86,3.482,6.955,3.071,1.84,0.367,0.191,28.1,60.4,32.4,32.1,362.1,10,5.4,22.1,124.8,20.9,196.6,698,,11.6,8,53.2,304.4,5.5,1.3,35.7,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/28/2008 13:44,45.596556,-122.034814
Tgwr,07BV-G968B,null,53.76,2.298,13.4,11.69,3.43,6.923,3.116,1.809,0.357,0.189,29.6,52.1,29.5,31.5,365.7,6.9,3.6,19.2,124.5,19.8,194.1,705.6,,11.7,9,51.5,308,7.2,1.2,35.3,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/28/2008 14:50,45.596476,-122.034714
Tgwr,07BV-G969,null,53.65,2.302,13.37,11.5,3.425,6.878,3.061,1.825,0.353,0.188,28.7,55.7,28.2,32.3,362.1,8.6,3.7,21.3,125.1,18.9,192.3,713,,11.8,8,53.5,309.6,6.3,2.6,35.2,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/28/2008 15:55,45.596036,-122.033984
Tgo,07BV-G971,null,54.54,1.911,13.45,11.15,3.388,6.884,3.089,1.807,0.32,0.187,31.3,56.5,29.1,31.3,298.1,5.2,1.8,14.9,119.6,19.6,189.5,699.1,,11.7,9.2,47.9,318.1,5.9,2.5,34.5,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/28/2008 17:01,45.592626,-122.034134
Tgo,07BV-G972,null,54.14,1.945,13.35,11.32,3.491,7.01,3.05,1.651,0.334,0.191,30.4,49.7,27.1,31.7,330.9,5.5,2.3,17.2,121.4,19.5,181.5,680,,11.6,8.7,45.1,312.4,5.6,1.8,34.2,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/28/2008 18:06,45.592876,-122.034144
Tgo,07BV-G973,null,54.26,1.903,13.35,10.99,3.402,6.861,2.944,1.985,0.316,0.185,30.2,47.7,25.6,31,317.3,11.1,3.5,13.1,117.7,19.4,178.5,679.6,,10.4,6.4,51.5,299.6,5.1,2.5,33.3,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/28/2008 19:12,45.593456,-122.034094
Tgo,07BV-G974,null,54.12,2.011,13.39,11.42,3.562,7.066,3.055,1.832,0.353,0.196,31.1,51.8,28.7,32.5,336.7,14.7,4.7,20.2,123.5,20.6,183.2,675.2,,11,8.3,47.7,308.9,5,2.9,35.3,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/28/2008 20:17,45.594306,-122.034434
Tggc,07BV-G975,null,54.52,1.911,13.37,11.08,3.349,6.797,3.073,1.784,0.299,0.184,27.9,55.4,27.9,30.4,327.3,8.2,2.7,18.4,115.2,20.1,184.6,701.5,,10.9,7.9,51.7,304.4,5.3,2.6,34,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/28/2008 21:23,45.594556,-122.034184
Tggc,07BV-G976,null,54.93,1.928,13.4,10.99,3.289,6.771,3.075,1.825,0.307,0.182,28.9,54.4,28.9,30.7,327.7,5.6,2.8,16.7,117.7,20.1,186,713.3,,11,6.8,51.5,303.6,5.3,2.1,33.6,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/28/2008 22:29,45.594856,-122.034144
Tggc,07BV-G977,null,54.5,1.946,13.58,11.43,3.635,7.113,3.127,1.72,0.341,0.187,28.4,49.3,29.2,31,327.1,11.1,5.9,22.7,118.5,18.6,171.7,682.2,,10.7,7.4,47.1,322.1,3.9,0.7,33.3,20,EvartsUnpubMultnomahFalls,WSU,whole rock,6/28/2008 20:22,45.594806,-122.033394
Tggc,07BV-G978,null,54.98,1.911,13.57,11.5,3.612,7.164,2.951,1.938,0.317,0.189,25.9,47.8,24.9,31.6,325.5,10.9,6.3,20.1,115,17.2,171.3,668.2,,10.2,7.3,50.4,313.5,4.5,2.7,31.9,20,EvartsUnpubMultnomahFalls,WSU,whole rock,7/2/2008 6:19,45.595226,-122.033234
